Korean,English
얻다,obtain
아름답다,beautiful
끝,end
민족,ethnicity
조사,investigation
듯,as if
입,mouth
뭐,what
그대로,as it is
영화,movie
필요,need
하늘,sky
년대,decade
과학,science
듯하다,seem like
자연,nature
구조,structure
결국,eventually
밥,rice
입다,wear
오히려,rather
프로그램,program
이루어지다,be achieved
하루,day
그림,painting
마시다,drink
혼자,alone
나가다,go out
이제,now
교수,professor
사랑,love
전화,phone
끝나다,end
돌아오다,return
아빠,dad
걸리다,get caught
지키다,keep
한번,once
커피,coffee
가슴,chest
길다,long
바라보다,look at
알아보다,recognize
회사,company
맛,taste
대부분,mostly
산업,industry
매우,very
오르다,rise
음식,food
표정,expression
일부,some
요즘,these days
계획,plan
느낌,feeling
얼마,some amount
성격,personality
계속,continue
세기,century
세우다,stand up
아내,wife
가족,family
놓다,put
놀다,play
향하다,head toward
관련,related
형태,form
각,each
도시,city
작업,work
분위기,atmosphere
그러하다,like that
자기,oneself
나이,age
우선,first of all
믿다,believe
바꾸다,change
낳다,give birth
정보,information
좋아하다,like
그리다,draw
만큼,as much as
배우다,learn
역할,role
옆,side
행동,action
어,uh
국내,domestic
비하다,compared to
기관,institution
입장,position
만하다,suitable
아래,under
방식,method
영향,influence
나서다,step forward
흐르다,flow
깊다,deep
내,inside
산,mountain
하지만,but
조건,condition
문,door
꽃,flower
단계,stage
올리다,raise
그동안,meanwhile
교사,teacher
갑자기,suddenly
넘다,cross over
지니다,have
잘하다,do well
마을,village
대표,representative
가능성,possibility
방향,direction
대회,contest
목소리,voice
노래,song
바다,sea
힘들다,difficult
공부,study
움직이다,move
의원,assemblyman
노력,effort
전혀,never
언니,older sister
단체,organization
분,be born
알려지다,factory
가능하다,already
능력,enjoy
주장하다,he
자식,patient
돌리다,change
불,still
주민,no matter
모으다,match
자료,rice
존재,common
학년,interesting
신문,teach
가지다,conversation
이해하다,block
제품,this year
분야,different
선생,throw away
돌아가다,attach
사업,character
행위,always
수준,lose
지난해,freedom
표현,responsibility
기분,change
젊다,similar
동시,severe
옷,competition
순간,love
전쟁,summer
꿈,grow
할머니,meeting
방송,concrete
이야기하다,opportunity
나무,conduct
자다,time
연극,consumer
오늘,dislike
마찬가지,scale
노동,standard
이때,definitely
가치,count
시간,equip
집단,so
현대,accept
살펴보다,price
장관,site
차이,construction
풀다,take out
시절,worker
물건,neighborhood
개인,completely
근데,car
발,convey
작가,exist
효과,months
불교,not really
끌다,child
대로,determine
빨리,one word
시작되다,maintain
둘,ideology
설명하다, 
우주,public
마치,increase
생산,wipe
바라다,word
강하다,okay
경험,tears
음악,various
최고,light
나타내다,no
아프다,avoid
고향,go through
놀라다,move forward
다양하다,hey
울다,knowledge
농민,currently
드러나다,still
은행,owner
지내다,discover
결혼,line
동생,humanity
소설,feature
오후,athlete
질서,form
담다,prepare
모이다,announce
시민,topic
회장,span
빠르다,experience
아기,perspective
아저씨,ear
옛날,basic
이날,meter
제대로,disappear
던지다,how
공간,emotion
이곳,memory
딸,guy
마지막,popularity
벌이다,apartment
병원,sometimes
자세,composition
강조하다,alcohol
경찰,actually
저녁,short
그러면,thank you
기자,there
넓다,starting
시험,hear
잠,busy
주로,previous
훨씬,acknowledge
통일,central
들어서다,bad
건강,regardless
가깝다,order
건물,game
시설,international
외국,group
밑,life
어른,tradition
주변,grow
대신,cup
원인,investigate
팔다,large
차례,poet
열심히,outside
일하다,evaluation
재산,come down
팀,position
부모,reduce
언어,price
요구하다,change
올라가다,empty
첫,Three Kingdoms
감독,guest
그날,want
사실,communication
자주,confirm
당하다,meeting
삼다,none
기간,laughter
담배,machine
일으키다,shape
일단,substance
할아버지,announcer
조직,news
태어나다,live
공장,spread
벌써,winter
즐기다,religion
지,floor
환자,naturally
변하다,turn
그래도,meal
아무리,hug
맞추다,forget
쌀,present
일반,half
재미있다,only
가르치다,stage
대화,energy
막다,practice
올해,try
달리,protection
버리다,wash
